EXAME|UNIDADE|VALOR_REF
TEMPO DE PROTROMBINA, URGENTE, plasma - TP/INR - TP/INR|segundos|0,9 a 1,1
TEMPO DE PROTROMBINA, URGENTE, plasma - Tempo de Protrombina - Tempo de Protrombina|segundos|10,1 a 12,8
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, URGENTE, plasma - TTPA - TTPA|segundos|25,4 a 33,4
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, URGENTE, plasma - TTPA-Paciente/Normal - TTPA-Paciente/Normal|segundos|0,91 a 1,20
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, URGENTE, plasma - TTPA-Normal do dia - TTPA-Normal do dia||
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 23
TETANO, ANTICORPOS,  soro - Anti-Toxóide Tetânico - Anti-Toxóide Tetânico|UI/mL|Superior ou igual a 0,15
TEMPO DE SANGRAMENTO - Tempo de Sangramento - Tempo de Sangramento||até 3,00 minutos
HORMÔNIO ANTI-MULLERIANO, soro - Hormônio Anti-mulleriano - Hormônio Anti-mulleriano|ng/mL|
ANTICORPOS IRREGULARES ANTI-ERITROCITARIOS, soro - Anticorpos irreg. Anti-Eritrocitários, soro - Anticorpos irreg. Anti-Eritrocitários, soro||Negativo
TRIPANOSSOMA CRUZI, anticorpos Totais, soro - Tripanossoma Cruzi - IgG, Elisa - Tripanossoma Cruzi - IgG, Elisa||Não reagente
ZIKA VÍRUS, DETECÇÃO DO RNA POR PCR - Zika vírus, detecção no RNA - Zika vírus, detecção no RNA||Indetectável
CALCIO, plasma - Cálcio - Cálcio|mg/dL|8,6 a 10,3
MAGNESIO, plasma - Magnésio - Magnésio|mg/dL|1,6 a 2,6
ALDOLASE, soro - Aldolase - Aldolase|U/L|1,5 a 8,1
CALCIO, urina - Cálcio, Urina 24h - Cálcio, Urina 24h|mg/24h|55 a 220
CALCIO, urina - Período de coleta (horas) - Período de coleta (horas)||
CALCIO, urina - Volume (mL) - Volume (mL)||
GLICOSE, POS PRANDIAL, plasma - Glicose pós prandial - Glicose pós prandial|mg/dL|
CORTISOL, saliva - Cortisol, saliva - Cortisol, saliva|ng/dL|
DETECÇÃO DE NEISSERIA GONORRHOEAE POR PCR - Observação - Observação||
DETECÇÃO DE CHLAMYDIA TRACHOMATIS POR MÉTODO MOLECULAR - Observação - Observação||
VÍRUS DA IMUNODEFICIÊNCIA HUMANA-1 (HIV-1), QUANTIFICAÇÃO DO RNA - HIV-1 Quantificação - HIV-1 Quantificação|UI/mL|Indetectável
EXAME DE URINA POR SONDAGEM VESICAL - pH, urina - pH, urina||5,0 a 8,0
EXAME DE URINA POR SONDAGEM VESICAL - Densidade, urina - Densidade, urina||1,010 a 1,030
EXAME DE URINA POR SONDAGEM VESICAL - Proteínas, urina isolada - Proteínas, urina isolada|g/L|inferior a 0,10
EXAME DE URINA POR SONDAGEM VESICAL - Glicose, urina isolada - Glicose, urina isolada|g/L|inferior a 0,3
EXAME DE URINA POR SONDAGEM VESICAL - Corpos cetônicos, urina - Corpos cetônicos, urina|mg/dL|inferior a 5,0 (negativa)
EXAME DE URINA POR SONDAGEM VESICAL - Bilirrubina, urina - Bilirrubina, urina|mg/dL|inferior a 1,0 (negativa)
EXAME DE URINA POR SONDAGEM VESICAL - Urobilinogênio, urina - Urobilinogênio, urina|mg/dL|inferior a 1,0 (negativa)
EXAME DE URINA POR SONDAGEM VESICAL - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 30.000/mL
EXAME DE URINA POR SONDAGEM VESICAL - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 12.000/mL
EXAME DE URINA POR SONDAGEM VESICAL - Aspecto, urina - Aspecto, urina||limpido
EXAME DE URINA POR SONDAGEM VESICAL - Cor, urina - Cor, urina||
EXAME DE URINA POR SONDAGEM VESICAL - Cilindros, urina - Cilindros, urina||
EXAME DE URINA POR SONDAGEM VESICAL - Células Epiteliais, urina - Células Epiteliais, urina||
EXAME DE URINA POR SONDAGEM VESICAL - Nitrito, urina - Nitrito, urina||negativa
HEMOGRAMA, sangue total - Fração Imatura de Plaquetas - Fração Imatura de Plaquetas|%|1,1 a 6,8
LINFOCITOS T AUXILIADORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|507 a 1496
LINFÓCITOS T SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|303 a 1008
LINFÓCITOS T SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 a 2,6
IGE ESPECIFICO, D1 - D. PTERONYSSINUS, soro - Rast - D1 - D. Pteronyssinus - Rast - D1 - D. Pteronyssinus|kU/L|inferior a 0,35
IGE ESPECIFICO, D2 - D. FARINAE, soro - Rast - D2 - D. Farinae - Rast - D2 - D. Farinae|kU/L|inferior a 0,35
IGE ESPECIFICO, D201 - BLOMIA TROPICALIS, soro - Rast - D201 - Blomia tropicalis - Rast - D201 - Blomia tropicalis|kU/L|inferior a 0,35
IGE ESPECIFICO,M6 - Alternaria alternata, soro  - Rast - M6 - Alternaria alternata - Rast - M6 - Alternaria alternata|kU/L|inferior a 0,35
IGE ESPECIFICO, M3 - ASPERGILLUS FUMIGATUS, soro - Rast - M3 - Aspergillus fumigatus - Rast - M3 - Aspergillus fumigatus|kU/L|inferior a 0,35
IGE ESPECIFICO,M2 - Cladosporum herbarum, soro - Rast - M2 - Cladosporum herbarum - Rast - M2 - Cladosporum herbarum|kU/L|inferior a 0,35
IGE ESPECIFICO, F24 - CAMARAO, soro - Rast - F24 - Camarão - Rast - F24 - Camarão|kU/L|inferior a 0,35
IGE ESPECIFICO, F26 - CARNE DE PORCO, soro - Rast - F26 - Carne de porco - Rast - F26 - Carne de porco|kU/L|inferior a 0,35
IGE ESPECIFICO, I71 - PERNILONGO, soro - Rast - I71 - Pernilongo - Rast - I71 - Pernilongo|kU/L|inferior a 0,35
IGE ESPECIFICO, K82 - LATEX, soro - Rast - K82 - Latéx - Rast - K82 - Latéx|kU/L|inferior a 0,35
IGE ESPECIFICO, E1 - DESCAMACAO - PELE DE GATO, soro - Rast - E1 - Descamação pele de gato - Rast - E1 - Descamação pele de gato|kU/L|inferior a 0,35
IGE ESPECIFICO, E5 - EPITELIO OU PELO DE CAO, soro - Rast - E5 - epitélio de cão - Rast - E5 - epitélio de cão|kU/L|inferior a 0,35
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|18 a 54
ESTRIOL, soro - Estriol - Estriol|ng/mL|Homens: < 0,15
1,25-DIHIDROXIVITAMINA D, soro - Vitamina D, 1,25 Dihidroxi - Vitamina D, 1,25 Dihidroxi|pg/mL|18 a 72
FOSFATASE ACIDA, soro - Fosfatase Ácida - Total - Fosfatase Ácida - Total|UI/L|Até 6,1
FOSFATASE ÁCIDA - FRAÇÃO PROSTÁTICA, soro - Fosfatase Ácida - Prostática - Fosfatase Ácida - Prostática|UI/L|Até 3,0
SEDIMENTO URINARIO - JATO MEDIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 20.000/mL
SEDIMENTO URINARIO - JATO MEDIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 10.000/mL
ESPERMOGRAMA - Volume ejaculado - Volume ejaculado|%|Maior ou igual a 1,5 mL
ESPERMOGRAMA - Concentração/mL - Concentração/mL|%|Maior ou igual a 15 milhões/mL
ESPERMOGRAMA - Leucócitos - Esperma - Leucócitos - Esperma|%|< 1,0 milhão/mL
ESPERMOGRAMA - Viabilidade - Viabilidade|%|> ou = 58 % (vivos)
ESPERMOGRAMA - Morfologia estrita - Morfologia estrita|%|Maior ou igual a 4
ESPERMOGRAMA - Total de espermatozoides PR + NP - Total de espermatozoides PR + NP|%|Maior ou igual a 40
ESPERMOGRAMA - Espermatozóides progressivos PR - Espermatozóides progressivos PR|%|Maior ou igual a 32
ESPERMOGRAMA - Espermatozóides não progressivos NP - Espermatozóides não progressivos NP||
ESPERMOGRAMA - Espermatozóides imóveis IM - Espermatozóides imóveis IM||
ESPERMOGRAMA - Motilidade total - Motilidade total|%|Maior ou igual a 40
ESPERMOGRAMA - Hemácias - Hemácias|%|ausentes
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG1 - IgG1|mg/dL|490 a 1140
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG2 - IgG2|mg/dL|150 a 640
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG3 - IgG3|mg/dL|22 a 176
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG4 - IgG4|mg/dL|8 a 140
BETA-2 GLICOPROTEINA I, ANTICORPOS IgG, soro - Beta 2 Glicoproteina I, Anticorpos IgG - Beta 2 Glicoproteina I, Anticorpos IgG|U/mL|inferior a 15
BETA-2 GLICOPROTEINA I, ANTICORPOS IgM, soro - Beta 2 Glicoproteina I, Anticorpos IgM - Beta 2 Glicoproteina I, Anticorpos IgM|U/mL|inferior a 10
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|21 a 77
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2059 a 5572
DENGUE, ANTICORPOS IgG, soro - Dengue, IgG - Dengue, IgG||< 0,9
DENGUE, ANTICORPOS IgM, soro - Dengue, IgM - Dengue, IgM||< 0,9
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B1 - Vírus Coxsackie - B1||Não reagente
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B2 - Vírus Coxsackie - B2||Não reagente
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B3 - Vírus Coxsackie - B3||Não reagente
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B4 - Vírus Coxsackie - B4||Não reagente
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B5 - Vírus Coxsackie - B5||Não reagente
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Vírus Coxsackie - B6 - Vírus Coxsackie - B6||Não reagente
ZIKA VÍRUS, PESQUISA DE ANTICORPOS DA CLASSE IGG, soro - Zika vírus - IgG - Zika vírus - IgG||
ZIKA VÍRUS, PESQUISA DE ANTICORPOS DA CLASSE IGG, soro - Zika vírus - IgG - Índice - Zika vírus - IgG - Índice||
GASTRINA, soro - Gastrina, soro - Gastrina, soro|pg/mL|inferior a 100
VITAMINA B1, sangue total - Vitamina B1, sangue - Vitamina B1, sangue|ng/mL|28 a 85
URINA TIPO I - JATO MEDIO - Espermatozóides, urina - Espermatozóides, urina||
DIHIDROTESTOSTERONA (DHT), soro - Observação - Observação||
CISTATINA C, soro - Cistatina C - Cistatina C|mg/L|0,60 a 1,22
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2610 a 5977
DETECÇÃO DE CHLAMYDIA TRACHOMATIS POR MÉTODO MOLECULAR - Clamidia Trachomatis PCR - Clamidia Trachomatis PCR|microg/g creatinina|Negativo
DEHIDROEPIANDROSTERONA, soro - Observação - Observação||
COMPLEMENTO TOTAL - Complemento Total - Complemento Total|U/mL|170 a 330
FRACAO C2 DO COMPLEMENTO - C2 - C2|%|Acima de 67
ACIDO URICO, plasma - Ácido Úrico, soro - Ácido Úrico, soro|mg/dL|2,4 a 5,7
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - Observação - Observação||
PROLACTINA, soro - Observação - Observação||
HEMOGRAMA, sangue total - Bastonetes - Bastonetes|/mm3|  Até 840
HEMOGRAMA, sangue total - Segmentados - Segmentados|/mm3|1.700 a 7.000
HEMOGRAMA, sangue total - Bastonetes (%) - Bastonetes (%)|%|
HEMOGRAMA, sangue total - Segmentados (%) - Segmentados (%)|%|
BNP - PEPTIDEO NATRIURETICO TIPO B, plasma - BNP - BNP|pg/mL|Até 100
CISTATINA C, soro - Cistatina C - Cistatina C|mg/L|0,72 a 1,53
T3 REVERSO, soro - T3 Reverso - T3 Reverso|ng/dL|8 a 25
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2571 a 5982
CELULAS PARIETAIS DA MUCOSA GASTRICA, AUTO-ANTICORPOS, soro - Células parietais da mucosa gástrica - Células parietais da mucosa gástrica||Não reagente
VÍRUS DA IMUNODEFICIÊNCIA HUMANA-1 (HIV-1), QUANTIFICAÇÃO DO RNA - HIV-1 Log - HIV-1 Log|cópias/mL|
VÍRUS DA IMUNODEFICIÊNCIA HUMANA-1 (HIV-1), QUANTIFICAÇÃO DO RNA - HIV-1 UI/mL - HIV-1 UI/mL|cópias/mL|Indetectável
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A2 - Virus Coxsackie - A2||inferior a 1/8
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A4 - Virus Coxsackie - A4||inferior a 1/8
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A7 - Virus Coxsackie - A7||inferior a 1/8
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A9 - Virus Coxsackie - A9||inferior a 1/8
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A10 - Virus Coxsackie - A10||inferior a 1/8
COXSACKIE A, ANTICORPOS TOTAIS - Virus Coxsackie - A16 - Virus Coxsackie - A16||inferior a 1/8
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 14,5
HEMOGRAMA, sangue total - VCM - VCM|fL|79,0 a 91,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|3.400 a 10.800
HEMOGRAMA, sangue total - Neutrófilos - Neutrófilos|/mm3|1.500 a 8.500
HEMOGRAMA, sangue total - Eosinófilos - Eosinófilos|/mm3|0 a 500
HEMOGRAMA, sangue total - Basófilos - Basófilos|/mm3|0 a 200
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3|1.500 a 6.500
HEMOGRAMA, sangue total - Monócitos - Monócitos|/mm3|0 a 800
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,10 a 5,30
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|36,0 a 43,0
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|27,0 a 33,0
HEMOGRAMA, sangue total - Concentração de Hemoglobina Corpuscular - Concentração de Hemoglobina Corpuscular|g/dL|32,0 a 36,0
HEMOGRAMA, sangue total - RDW - RDW|%|11,6 a 13,4
MYCOPLASMA PNEUMONIAE, ANTICORPOS IgG e IgM, soro - Micoplasma Pneumoniae,IgG - Micoplasma Pneumoniae,IgG||
MYCOPLASMA PNEUMONIAE, ANTICORPOS IgG e IgM, soro - Micoplasma Pneumoniae,IgM - Micoplasma Pneumoniae,IgM||
RENINA, ATIVIDADE PLASMÁTICA - Relação Aldosterona/Renina - Relação Aldosterona/Renina|ng/mL|Até 27,0
GONADOTROFINA CORIONICA HUMANA (HCG), soro - HCG - HCG|UI/L|Indetectável
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|1779 a 5201
TESTOSTERONA BIODISPONIVEL, soro - Testosterona Biodisponível - Testosterona Biodisponível|ng/dL|
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|34 a 249
SEROTONINA, soro - Serotonina, soro - Serotonina, soro|ng/mL|20 a 170
INSULINA POS PRANDIAL, soro - Insulina pós prandial - Insulina pós prandial|mU/L|
INSULINA POS PRANDIAL, soro - Observação - Observação||
GLICOSE POS PRANDIAL, plasma - Glicose pós prandial - Glicose pós prandial|mg/dL|
COVID19, ANTICORPOS IgA, soro - Covid 19, Anticorpos IgA, Elisa - Índice - Covid 19, Anticorpos IgA, Elisa - Índice||
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Índice - Covid 19, Anticorpos IgG, Elisa - Índice||
VITAMINA B6, sangue total - Vitamina B6, sangue - Vitamina B6, sangue|ng/mL|8,7 a 27,2
IgE ESPECÍFICO, rHev B1 LÁTEX, soro - Rast - rHev B1 - Látex - Rast - rHev B1 - Látex|kU/L|inferior a 0,35
IgE ESPECÍFICO, rHev B3 LÁTEX, soro - Rast - rHev B3 - Látex - Rast - rHev B3 - Látex|kU/L|inferior a 0,35
IgE ESPECÍFICO, rHev B5 LÁTEX, soro - Rast - rHev B5 - Látex - Rast - rHev B5 - Látex|kU/L|inferior a 0,35
IgE ESPECÍFICO, rHev B6 LÁTEX, soro - Rast - rHev B6 - Látex - Rast - rHev B6 - Látex|kU/L|inferior a 0,35
IGE ESPECIFICO, F84 - KIWI, soro - Rast - F84 - kiwi - Rast - F84 - kiwi|kU/L|inferior a 0,35
IGE ESPECIFICO, F96 - ABACATE, soro - Rast - F96 - Abacate - Rast - F96 - Abacate|kU/L|inferior a 0,35
IGE ESPECIFICO, F92 - BANANA, soro - Rast - F92 - Banana - Rast - F92 - Banana|kU/L|inferior a 0,35
IgE ESPECÍFICO, rHev B8 LÁTEX, soro - Rast - rHev B8 - Látex - Rast - rHev B8 - Látex|kU/L|inferior a 0,35
IGE ESPECIFICO, F18 - CASTANHA DO PARÁ, soro - Rast - F18 - Castanha do Pará - Rast - F18 - Castanha do Pará|kU/L|inferior a 0,35
IGE ESPECIFICO, F27 - CARNE DE VACA, soro - Rast - F27 - Carne de vaca - Rast - F27 - Carne de vaca|kU/L|inferior a 0,35
IGE ESPECIFICO, D202 - ÁCARO (Dermatophagoides pteronyssinus) (nDer p 1), soro - Rast - D202 - Ácaro - Rast - D202 - Ácaro|kU/L|inferior a 0,35
IGE ESPECIFICO, HX2 - POEIRA, soro - Rast - HX2 - Poeira - Rast - HX2 - Poeira|kU/L|inferior a 0,35
IGE ESPECIFICO, E85 - PENAS DE GALINHA, soro - Rast - E85 - Penas de galinha - Rast - E85 - Penas de galinha|kU/L|inferior a 0,35
ALFA-1 ANTI-TRIPSINA, soro - Alfa-1 Anti-tripsina, soro - Alfa-1 Anti-tripsina, soro|mg/dL|88 a 174
IGE ESPECIFICO, MX1 - FUNGOS, soro - Rast - MX1 - Fungos - Rast - MX1 - Fungos|kU/L|inferior a 0,35
IGE ESPECIFICO, EX1 - ANIMAIS, soro - Rast - EX1 - Animais - Rast - EX1 - Animais|kU/L|inferior a 0,35
IGE ESPECIFICO, FX5 - ALIMENTOS, soro - Rast - FX5 - Alimentos - Rast - FX5 - Alimentos|kU/L|inferior a 0,35
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Observação - Eletro - Observação||
METILENOTETRAHIDROFOLATO REDUTASE (MTHFR), MUTAÇÕES c.677C>T E c.1298A>C - Metilenotetraidrofolato redutase, mut. C677T - Metilenotetraidrofolato redutase, mut. C677T||
METILENOTETRAHIDROFOLATO REDUTASE (MTHFR), MUTAÇÕES c.677C>T E c.1298A>C - Metilenotetraidrofolato redutase, mut. A1298C - Metilenotetraidrofolato redutase, mut. A1298C||
CHLAMYDIA TRACHOMATIS, ANTICORPOS IgG, soro - Chlamydia Trachomatis, IgG - Chlamydia Trachomatis, IgG||Não reagente
TRANSFERRINA, soro - Transferrina - Transferrina|mg/dL|200 a 360
HLA-B27, GENOTIPAGEM, sangue - HLA-B27, Genotipagem - HLA-B27, Genotipagem||Ausência do alelo HLA-B27
CHLAMYDIA TRACHOMATIS, ANTICORPOS IgM, soro - Chlamydia Trachomatis, IgM - Chlamydia Trachomatis, IgM||Não reagente
MANGANES, plasma - Manganês, soro - Manganês, soro|microg/L|Normal: até 1,6
BILIRRUBINAS, plasma - Bilirrubina Direta - Bilirrubina Direta|mg/dL|0,00 a 0,30
BILIRRUBINAS, plasma - Bilirrubina Total - Bilirrubina Total|mg/dL|0,20 a 1,10
BILIRRUBINAS, plasma - Bilirrubina Indireta - Bilirrubina Indireta|mg/dL|0,20 a 0,80
HORMONIO DE CRESCIMENTO (HGH), soro - Hormônio crescimento - Hormônio crescimento||
URINA TIPO I - JATO MEDIO - Bactérias, urina - Bactérias, urina||
TOXOCARA, ANTICORPOS IgG, soro - Toxocara, IgG - Toxocara, IgG||
CARDIOLIPINA, ANTICORPO IgA, soro - AntiCardiolipina IgA, soro - AntiCardiolipina IgA, soro|U/APL|inferior a 10
PROTEINA C, plasma - Proteína C - Proteína C|%|70 a 140
ANTITROMBINA, plasma - Antitrombina III - Antitrombina III|%|80 a 120
FATOR V LEIDEN - Fator V Leiden - Fator V Leiden||
MUTAÇÃO c.20210G>A DO GENE DA PROTROMBINA - Protrombina 20210G>A - Protrombina 20210G>A||
PROTEÍNA S TOTAL, plasma - Proteína S Total - Proteína S Total|%|65 a 154
PROTEÍNA S TOTAL, plasma - Proteína S Livre - Proteína S Livre|%|52 a 118
PROTEINA S LIVRE, plasma - Proteína S Livre - Proteína S Livre|%|52 a 118
BETA 2 GLICOPROTEÍNA 1, AUTOANTICORPO IgA, soro - Beta 2 Glicoproteína I, Anticorpos IgA - Beta 2 Glicoproteína I, Anticorpos IgA|U/mL|Negativo: inferior a 15,0
IGE ESPECIFICO, F232  nGal d 2 Ovoalbumina, soro - Rast - F232 - nGal d 2 Ovoalbumina - Rast - F232 - nGal d 2 Ovoalbumina|kU/L|inferior a 0,35
IGE ESPECIFICO, FX2 - ALIMENTOS, soro - Rast - FX2 - Alimentos - Rast - FX2 - Alimentos|kU/L|inferior a 0,35
IGE ESPECIFICO, I1 - ABELHA, soro - Rast - I1 - Abelha - Rast - I1 - Abelha|kU/L|inferior a 0,35
LÍTIO, soro - Lítio - Lítio|mEq/L|0,60 a 1,20
PESQUISA DE ANTICORPOS ANTI-NEISSERIA GONORRHOEAE, soro - Anti-Neisseria Gonorrhoeae - Anti-Neisseria Gonorrhoeae||
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2515 a 6018
FATOR V LEIDEN E MUTAÇÃO c.20210G>A DO GENE DA PROTROMBINA - Fator V Leiden - Fator V Leiden||Mutação ausente
FATOR V LEIDEN E MUTAÇÃO c.20210G>A DO GENE DA PROTROMBINA - Protrombina 20210G>A - Protrombina 20210G>A||Mutação ausente
CALPROTECTINA, fezes - Calprotectina - Calprotectina|mcg/g de fezes|Normal: inferior a 50
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Componente Monoclonal - Eletro - Componente Monoclonal||
ALBUMINURIA - Microalbuminúria - Microalbuminúria|microgr/minuto|Até 20
CITOPLASMA DE NEUTROFILOS, ANTICORPOS (c-ANCA e p-ANCA), soro - ANCA - ANCA|U/mL|Não Reagente
CRIOGLOBULINAS, soro - Crioglobulinas - Crioglobulinas|microgramas/mL|Até 80
ASCA (SACCHAROMYCES CEREVISAE), ANTICORPOS IgG e IgA, soro - ASCA - IgG - ASCA - IgG|Unidades|
ASCA (SACCHAROMYCES CEREVISAE), ANTICORPOS IgG e IgA, soro - ASCA - IgA - ASCA - IgA|Unidades|
CISTATINA C, soro - Cistatina C - Cistatina C|mg/L|0,64 a 1,38
LINFOCITOS NATURAL KILLER, sangue - Linfócitos Natural Killer - Linfócitos Natural Killer|/mm3|90 a 600
LINFOCITOS B (CD-19), sangue - Linfocitos CD-19 - Linfocitos CD-19|/mm3|140 a 950
LINFÓCITOS B (CD20), sangue - Linfócitos B (CD-20) - Linfócitos B (CD-20)|/mm3|140 a 950
PROPEPTIDEO AMINO TERMINAL DO PROCOLÁGENO TIPO I , soro - Propeptideo Amino Terminal - Propeptideo Amino Terminal|microg/L|13,8 a 60,9
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|12 a 154
ANTICORPOS LIGADORES DO RECEPTOR DA ACETILCOLINA , soro - Acetilcolina - Anticorpos ligadores receptor - Acetilcolina - Anticorpos ligadores receptor|mmol/L|Menor ou igual a 0,02
ENDOMISIO, ANTICORPOS IgG, soro - Endomisio, Anticorpos IgG - Endomisio, Anticorpos IgG||Não reagente
ERITROVIRUS B19, ANTICORPOS IgG, soro - Eritrovírus B19, IgG - Eritrovírus B19, IgG||Não reagente: inferior a 0,9
ERITROVIRUS B19, ANTICORPOS IgM, soro - Eritrovírus B19, IgM - Eritrovírus B19, IgM||Não reagente: inferior a 0,9
IGE ESPECIFICO, GX2 - GRAMINEAS, soro - Rast - GX2 - Gramíneas - Rast - GX2 - Gramíneas|kU/L|inferior a 0,35
IGE ESPECIFICO, D3 - ÁCARO DOMÉSTICO (DERMATOPHAGÓIDES MICROCERAS), soro - Rast - D3 - Ácaro doméstico - Rast - D3 - Ácaro doméstico|kU/L|inferior a 0,35
IGE ESPECIFICO, M1 - PENICILLIUM NOTATUM,soro - Rast - M1 - Penicillium notatum - Rast - M1 - Penicillium notatum|kU/L|inferior a 0,35
IGE ESPECIFICO, I6 - BARATA, soro - Rast - I6 - Barata - Rast - I6 - Barata|kU/L|inferior a 0,34
TIROXINA (T4), soro - Observação - Observação||
ÁCIDO LÁCTICO, plasma - Lactato, plasma - Lactato, plasma|mg/dL|5,7 a 22,0
MIOGLOBINA, plasma - Mioglobina - Mioglobina|ng/mL|inferior a 58
BETA 2 MICROGLOBULINA, soro - Beta 2 Microglobulina - Beta 2 Microglobulina|mg/L|Menores de 60 anos: 0,8 a 2,4
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2752 a 6219
OSTEOCALCINA, soro - Osteocalcina, soro - Osteocalcina, soro|ng/mL|
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|44 a 331
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2133 a 5711
IGE ESPECIFICO, I70 - FORMIGA, soro - Rast - I70 - Formiga - Rast - I70 - Formiga|kU/L|inferior a 0,35
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,2 a 14,8
HEMOGRAMA, sangue total - VCM - VCM|fL|80,0 a 92,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|4.100 a 8.900
HEMOGRAMA, sangue total - Neutrófilos - Neutrófilos|/mm3| 1.800 a 8.000
HEMOGRAMA, sangue total - Basófilos - Basófilos|/mm3| 0 a 200
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3|1.200 a 5.200
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,10 a 5,20
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|25,0 a 35,0
HEMOGRAMA, sangue total - RDW - RDW|%|11,2 a 13,5
VIRUS EPSTEIN BARR (ANTIGENO DO CAPSIDEO VIRAL), - Virus Epstein Barr, Avidez IgG - Virus Epstein Barr, Avidez IgG|%|Baixa Avidez: inferior a 45
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|16 a 123
