EXAME|UNIDADE|VALOR_REF
Dosagem de Magnésio - Magnésio|mEq/L|1.2 a 1.8
Dosagem de Cálcio Iônico - Cálcio Iônico mmol/L|mmol/L|0.95 a 1.50
Hemograma Contagem Auto - Linfócitos #|µL|4000 a 13500
Hemograma Contagem Auto - Monócitos #|µL|50 a 1100
Hemograma Contagem Auto - Neutrófilos  #|µL|1000 a 8500
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.10 a 4.50
Contagem dos Reticulócitos - Hematócrito|%|29.0 a 41.0
Dosagem de Ferritina - Ferritina|ng/mL|8.46 a 580.00
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|122 a 469
Dosagem de Fósforo - Fósforo|mg/dL|4.6 a 7.9
Dosagem de TGO - TGO|U/L|<=63
Dosagem de TGP - TGP|U/L|<=25
Dosagem de Ferritina - Ferritina|ng/mL|150.00 a 973.00
Contagem dos Reticulócitos - Hematócrito|%|31.0 a 55.0
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.00 a 5.40
Dosagem de Hemoglobina - Hemoglobina|g/dL|10.0 a 18.0
Dosagem de Hematócrito - Hematócrito|%|31.0 a 55.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|9.0 a 14.0
Dosagem de Hematócrito - Hematócrito|%|29.0 a 41.0
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.90 a 6.60
Diferencial Manual - Segmentados #|µL|6000 a 26000
Hemograma com Plaquetas - Leucócitos #|µL|9000 a 30000
Diferencial Manual - Linfócitos #|µL|2000 a 11000
Diferencial Manual - Bastonetes #|µL|0 a 4230
Hemograma com Plaquetas - HCM|pg|31.0 a 37.0
Hemograma com Plaquetas - CHCM|g/dL|29.0 a 36.0
Hemograma com Plaquetas - VCM|fL|95.0 a 115.0
Hemograma com Plaquetas - Hematócrito|%|45.0 a 60.0
Hemograma com Plaquetas - Hemoglobina|g/dL|14.5 a 22.5
Hemograma Contagem Auto - Neutrófilos  #|µL|6000 a 26000
Hemograma Contagem Auto - Linfócitos #|µL|2000 a 11000
Dosagem de Cálcio Iônico - Cálcio Iônico mmol/L|mmol/L|1.00 a 1.50
Dosagem de Bilirrubina Total e Frações - Bilirrubina Total|mg/dL|0.0 a 6.4
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.90 a 6.20
Hemograma com Plaquetas - VCM|fL|86.0 a 124.0
Hemograma Contagem Auto - Neutrófilos  #|µL|1000 a 9500
Hemograma com Plaquetas - Leucócitos #|µL|5000 a 20000
Hemograma com Plaquetas - Hematócrito|%|39.0 a 63.0
Hemograma com Plaquetas - Hemoglobina|g/dL|12.5 a 20.5
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|37.0 a 47.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|13.0 a 16.0
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.90 a 6.30
Dosagem de Hematócrito - Hematócrito|%|42.0 a 60.0
Contagem dos Reticulócitos - Hematócrito|%|42.0 a 60.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|13.5 a 21.5
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.70 a 5.30
Contagem dos Reticulócitos - Hematócrito|%|33.0 a 39.0
Dosagem de Fósforo - Fósforo|mg/dL|3.3 a 5.6
Dosagem de Fósforo - Fósforo|mg/dL|3.7 a 6.5
Dosagem de Albumina - Albumina|g/dL|4.2 a 5.1
Dosagem de Fósforo - Fósforo|mg/dL|3.2 a 5.7
Dosagem de CreatiNINA - Creatinina|mg/dL|0.53 a 0.79
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|4.0 a 5.3
Dosagem de Testosterona Total e Livre - Albumina|g/dL|4.0 a 4.9
Dosagem de Testosterona Total e Livre - Albumina|g/dL|3.80 a 5.40
Dosagem de Fósforo - Fósforo|mg/dL|2.5 a 4.8
Dosagem de Gama GT - Gama GT|U/L|5 a 101
Dosagem de Fósforo - Fósforo|mg/dL|3.5 a 6.6
Dosagem de Bilirrubina Total e Frações - Bilirrubina Total|mg/dL|0.0 a 10.8
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|<=424
Dosagem de Albumina - Albumina|g/dL|3.1 a 5.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|11.0 a 14.5
Dosagem de Hematócrito - Hematócrito|%|33.0 a 43.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|33.0 a 43.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|11.0 a 14.5
Hemograma com Plaquetas - Hematócrito|%|35,0 a 45,0
Hemograma com Plaquetas - Hemácias|x10^6/uL|3,90 a 5,00
Hemograma com Plaquetas - CHCM|g/dL|31,0 a 36,0
Hemograma com Plaquetas - Volume Médio Plaquetário|fL|6,5 a 15,0
Hemograma com Plaquetas - HCM|pg|26,0 a 34,0
Hemograma com Plaquetas - RDW|%|11,5 a 16,5
Hemograma com Plaquetas - Hemoglobina|g/dL|12,0 a 15,5
Hemograma com Plaquetas - VCM|fL|82,0 a 98,0
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|
Pesquisa de Estreptococos do Grupo A - Strepto A||
Dosagem de Fósforo - Fósforo|mg/dL|3.1 a 5.5
Empresarial: Anticorpos Totais  IgG+IgM  - COVID19 IgM, teste rápido||Não reagente
Dosagem de Hemoglobina - Hemoglobina|g/dL|12,0 a 15,5
Dosagem de Hematócrito - Hematócrito|%|35,0 a 45,0
Urina Tipo I - Cilindros granulosos||
Urina Tipo I - Cilindros hialinos||
Urina Tipo I - Cristais||
Urina Tipo I - Leveduras||
Eritrograma - Hemácias|x10^6/uL|4.30 a 5.70
Eritrograma - VCM|fL|81.0 a 95.0
Eritrograma - RDW|%|11.5 a 16.5
Eritrograma - Hemoglobina|g/dL|13.5 a 17.5
Eritrograma - Hematócrito|%|39.0 a 50.0
Eritrograma - CHCM|g/dL|31.0 a 36.0
Eritrograma - HCM|pg|26.0 a 34.0
Dosagem de Albumina - Albumina|g/dL|4.0 a 4.9
Dosagem de Bilirrubina Total e Frações - Bilirrubina Indireta||
Dosagem de Potássio - Potássio||3.5 a 5.0
Diferencial Manual - Bastonetes #|µL|0 a 850
Diferencial Manual - Metamielócitos #||
Diferencial Manual - Mieloblastos #||
Diferencial Manual - Mielócitos #||
Diferencial Manual - Promielócitos #||
Dosagem de Fósforo - Fósforo|mg/dL|2.8 a 4.8
Dosagem de Testosterona Total e Livre - Albumina|g/dL|3,5 a 5,2
Dosagem de TGP - TGP|U/L|
Dosagem de CreatiNINA - Creatinina|mg/dL|
Dosagem de TGO - TGO|U/L|
Dosagem de Fósforo - Fósforo|mg/dL|3.1 a 6.0
Perfil de Oximetria Arterial - pO2 (gasometria arterial)|mm Hg|80.0 a 90.0
Perfil de Oximetria Arterial - pCO2 (gasometria arterial)|mm Hg|35.0 a 45.0
Perfil de Oximetria Arterial - Saturação da Hb (gasometria arterial)|%|96.0 a 97.0
Perfil de Oximetria Arterial - CO2 Total (gasometria arterial)|mmol/L|23.0 a 27.0
Perfil de Oximetria Arterial - HCO3 (gasometria arterial)|mEq/L|24.0 a 28.0
Perfil de Oximetria Arterial - BE (gasometria arterial)|mEq/L|-2.0 a 2.0
Perfil de Oximetria Arterial - Fio2 Arterial||
Contagem dos Reticulócitos - Hemácias|x10^6/uL|4.10 a 5.10
Clearance de Creatinina - Creatinina|mg/dL|0.53 a 0.79
Urina Tipo I - Aspecto||
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|<=270
Dosagem de Albumina - Albumina|g/dL|4.3 a 5.3
Hemograma com Plaquetas - CHCM|g/dL|
Hemograma com Plaquetas - Hematócrito|%|
Hemograma com Plaquetas - Hemoglobina||
Hemograma com Plaquetas - VCM||
Dosagem de Uréia - Uréia|mg/dL|
Hemograma Contagem Auto - Neutrófilos  #|µL|
Hemograma Contagem Auto - Linfócitos #|µL|
Hemograma com Plaquetas - Leucócitos #|µL|
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|
Hemograma com Plaquetas - HCM|pg|
Hemograma com Plaquetas - RDW||
Hemograma Contagem Auto - Eosinófilos  #|µL|
Dosagem de Uréia - Uréia|mg/dL|3 a 22
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.60 a 6.20
Dosagem de CreatiNINA - Creatinina|mg/dL|0.40 a 1.00
Diferencial Manual - Bastonetes #|µL|0 a 2200
Diferencial Manual - Segmentados #|µL|1000 a 9500
Dosagem de Fósforo - Fósforo|mg/dL|5.3 a 9.8
Hemograma com Plaquetas - Hematócrito|%|31.0 a 55.0
Hemograma com Plaquetas - Hemoglobina|g/dL|10.0 a 18.0
Diferencial Manual - Bastonetes #|µL|0 a 1900
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.00 a 5.40
Hemograma com Plaquetas - Leucócitos #|µL|5000 a 19500
Diferencial Manual - Linfócitos #|µL|2500 a 16500
Diferencial Manual - Segmentados #|µL|1000 a 9000
Hemograma com Plaquetas - VCM|fL|85.0 a 123.0
Hemograma Painel Mielóide - Linfócitos|%|
Hemograma Painel Mielóide - Eosinófilos|%|
Hemograma Painel Mielóide - Linfócitos #|µL|900 a 2900
Hemograma Painel Mielóide - CHCM|g/dL|31.0 a 36.0
Hemograma Painel Mielóide - Hemácias|x10^6/uL|4.30 a 5.70
Hemograma Painel Mielóide - HCM|pg|26.0 a 34.0
Hemograma Painel Mielóide - Hematócrito|%|39.0 a 50.0
Hemograma Painel Mielóide - Plaquetas|x10^3/uL|
Hemograma Painel Mielóide - Monócitos #|µL|300 a 900
Hemograma Painel Mielóide - VCM|fL|81.0 a 95.0
Hemograma Painel Mielóide - Leucócitos #|µL|3500 a 10500
Hemograma Painel Mielóide - Hemoglobina|g/dL|13.5 a 17.5
Hemograma Painel Mielóide - Eosinófilos  #|µL|50 a 500
Hemograma Painel Mielóide - Basófilos|%|
Hemograma Painel Mielóide - Monócitos|%|
Hemograma Painel Mielóide - Basófilos #|µL|0 a 100
Hemograma Painel Mielóide - Leucócitos|x10^3/uL|
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|180 a 435
Hemograma Painel Mielóide - Metamielócitos|%|
Hemograma Painel Mielóide - Mieloblastos #|µL|0 a 0
Hemograma Painel Mielóide - Promielócitos|%|
Hemograma Painel Mielóide - Segmentados #|µL|1700 a 8000
Hemograma Painel Mielóide - Bastonestes|%|
Hemograma Painel Mielóide - Neutrófilos|%|
Hemograma Painel Mielóide - Metamielócitos #|µL|0 a 0
Hemograma Painel Mielóide - Segmentados|%|
Hemograma Painel Mielóide - RDW|%|11.5 a 16.5
Hemograma Painel Mielóide - Neutrófilos  #|µL|1700 a 8000
Hemograma Painel Mielóide - Bastonetes #|µL|0 a 840
Hemograma Painel Mielóide - Promielócitos #|µL|0 a 0
Hemograma Painel Mielóide - Volume Médio Plaquetário|fL|6.5 a 15.0
Hemograma Painel Mielóide - Mielócitos|%|
Hemograma Painel Mielóide - Mieloblastos|%|
Hemograma Painel Mielóide - Mielócitos #|µL|0 a 0
Dosagem de Albumina - Albumina|g/dL|4.0 a 5.3
Tempo de Protrombina - TP, Atividade||70 a 100
Tempo de Protrombina - RNI||.96 a 1.30
Dosagem de Vitamina B12 - Dosagem de Vitamina B12|pg/mL|168 a 1675
Contagem dos Reticulócitos - Hemácias|x10^6/uL|4.30 a 5.30
Contagem dos Reticulócitos - Hematócrito|%|37.0 a 47.0
PCR para Influenza A/B e VRS - Influenza  A||Não detectado
PCR para Influenza A/B e VRS - Influenza  B||Não detectado
Hemograma com Plaquetas - HCM|pg|29.0 a 37.0
Clearance de Creatinina - Creatinina|mg/dL|0.40 a 0.60
Clearance de Creatinina - Creatinina|mg/dL|0.40 a 0.70
Dosagem de Gama GT - Gama GT|U/L|
Hemograma com Plaquetas - Hemoglobina|g/dL|13,5 a 17,5
Hemograma com Plaquetas - Hemácias|x10^6/uL|4,30 a 5,70
Hemograma com Plaquetas - VCM|fL|81,0 a 95,0
Hemograma com Plaquetas - Hematócrito|%|39,0 a 50,0
Clearance de Creatinina - Creatinina|mg/dL|0.39 a 0.73
Dosagem de Hematócrito - Hematócrito|%|37.0 a 47.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|13.0 a 16.0
TTPA - TTPA segundos|s|25.6 a 35.6
PCR para Bordetella Pertussis - Bordetella pertussis||Não detectado
Diferencial Manual - Promielócitos #|µL|>=0
Diferencial Manual - Metamielócitos #|µL|>=0
Diferencial Manual - Mieloblastos #|µL|>=0
Diferencial Manual - Mielócitos #|µL|>=0
Dosagem de Bilirrubina Total e Frações - Bilirrubina Direta||
Leucograma Manual - Monócitos|%|
Leucograma Manual - Eosinófilos|%|
Leucograma Manual - Eosinófilos  #|µL|50 a 500
Leucograma Manual - Linfócitos|%|
Leucograma Manual - Mielócitos|%|
Leucograma Manual - Monócitos #|µL|300 a 900
Leucograma Manual - Basófilos #|µL|0 a 100
Leucograma Manual - Bastonestes|%|
Leucograma Manual - Linfócitos #|µL|900 a 2900
Leucograma Manual - Segmentados #|µL|1700 a 8000
Leucograma Manual - Bastonetes #|µL|0 a 840
Leucograma Manual - Basófilos|%|
Leucograma Manual - Metamielócitos|%|
Leucograma Manual - Segmentados|%|
Leucograma Manual - Metamielócitos #|µL|0 a 0
Leucograma Manual - Mielócitos #|µL|0 a 0
Leucograma Manual - Mieloblastos|%|
Leucograma Manual - Promielócitos|%|
Leucograma Manual - Promielócitos #|µL|0 a 0
Leucograma Manual - Mieloblastos #|µL|0 a 0
Dosagem de Uréia - Uréia|mg/dL|21 a 53
Dosagem de Fósforo - Fósforo|mg/dL|3.9 a 6.9
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|3.1 a 5.0
Eritrograma - Hematócrito|%|35.0 a 45.0
Eritrograma - VCM|fL|82.0 a 98.0
Revisão Lamina Hemograma - Hemoglobina|g/dL|12.0 a 15.5
Revisão Lamina Hemograma - Basófilos #|µL|0 a 100
Eritrograma - Hemoglobina|g/dL|12.0 a 15.5
Revisão Lamina Hemograma - Mieloblastos|%|
Revisão Lamina Hemograma - Basófilos|%|
Revisão Lamina Hemograma - Mielócitos #|µL|0 a 0
Revisão Lamina Hemograma - Monócitos|%|
Revisão Lamina Hemograma - Eosinófilos  #|µL|50 a 500
Revisão Lamina Hemograma - Segmentados|%|
Revisão Lamina Hemograma - Eosinófilos|%|
Revisão Lamina Hemograma - Mielócitos|%|
Revisão Lamina Hemograma - Mieloblastos #|µL|0 a 0
Revisão Lamina Hemograma - RDW|%|11.5 a 16.5
Revisão Lamina Hemograma - Metamielócitos #|µL|0 a 0
Revisão Lamina Hemograma - CHCM|g/dL|31.0 a 36.0
Revisão Lamina Hemograma - Promielócitos|%|
Revisão Lamina Hemograma - Linfócitos|%|
Revisão Lamina Hemograma - Bastonestes|%|
Contagem de Hemácias - Hemácias|x10^6/uL|3.90 a 5.00
Revisão Lamina Hemograma - Hematócrito|%|35.0 a 45.0
Revisão Lamina Hemograma - Linfócitos #|µL|900 a 2900
Revisão Lamina Hemograma - Hemácias|x10^6/uL|3.90 a 5.00
Revisão Lamina Hemograma - Leucócitos|x10^3/uL|
Revisão Lamina Hemograma - Volume Médio Plaquetário|fL|6.5 a 15.0
Revisão Lamina Hemograma - Monócitos #|µL|300 a 900
Revisão Lamina Hemograma - Metamielócitos|%|
Revisão Lamina Hemograma - VCM|fL|82.0 a 98.0
Revisão Lamina Hemograma - Leucócitos #|µL|3500 a 10500
Revisão Lamina Hemograma - Segmentados #|µL|1700 a 8000
Revisão Lamina Hemograma - HCM|pg|26.0 a 34.0
Revisão Lamina Hemograma - Promielócitos #|µL|0 a 0
Revisão Lamina Hemograma - Plaquetas|x10^3/uL|
Revisão Lamina Hemograma - Bastonetes #|µL|0 a 840
Eritrograma - Hemácias|x10^6/uL|3.90 a 5.00
Revisão Lamina Hemograma - Neutrófilos|%|
Revisão Lamina Hemograma - Neutrófilos  #|µL|1700 a 8000
Empresarial: Anticorpos Totais  IgG+IgM  - COVID19, IgG + IgM||Não Reagente
Dosagem de Albumina - Albumina|g/dL|3.20 a 4.50
Painel Molecular Patogenos Respiratorios - Rhinovírus/Enterovírus||
Painel Molecular Patogenos Respiratorios - Bordetella pertussis||
Painel Molecular Patogenos Respiratorios - Mycoplasma pneumoniae||
Painel Molecular Patogenos Respiratorios - Metapneumovírus||
Painel Molecular Patogenos Respiratorios - Chlamydophila pneumoniae||
Painel Molecular Patogenos Respiratorios - Adenovirus||
Painel Molecular Patogenos Respiratorios - Vírus Sincicial Respiratório||
Painel Molecular Patogenos Respiratorios - Coronavírus229E||
Painel Molecular Patogenos Respiratorios - CoronavírusOC43||
Painel Molecular Patogenos Respiratorios - Parainfluenza 4||
Painel Molecular Patogenos Respiratorios - Parainfluenza 1||
Painel Molecular Patogenos Respiratorios - CoronavírusNL63||
Painel Molecular Patogenos Respiratorios - CoronavírusHKU1||
Painel Molecular Patogenos Respiratorios - Parainfluenza 3||
Painel Molecular Patogenos Respiratorios - Influenza  A||
Painel Molecular Patogenos Respiratorios - Influenza  B||
Painel Molecular Patogenos Respiratorios - Inf A H1N1 2009||
Painel Molecular Patogenos Respiratorios - Parainfluenza 2||
Contagem dos Reticulócitos - Hematócrito|%|39.0 a 63.0
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.60 a 6.20
Determinação de Osmolalidade - Dosagem de Glicose|mg/dL|40 a 70
Dosagem de Hematócrito - Hematócrito|%|39.0 a 63.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|12.5 a 20.5
Dosagem de Glicose - Dosagem de Glicose|mg/dL|40 a 70
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|83 a 248
Dosagem de Hematócrito - Hematócrito|%|33.0 a 39.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|10.5 a 13.5
Triagem de Urina - Hemoglobina Urina||
Triagem de Urina - Açúcar||
Triagem de Urina - Pigmentos biliares||
Triagem de Urina - Nitrito||
Triagem de Urina - Esterase||
Triagem de Urina - Urobilinogênio||
Triagem de Urina - Corpos cetônicos||
Dosagem de TGO - TGO|U/L|<=155
TTPA - TTPA segundos|s|25,6 a 35,5
TTPA - Relação (Paciente/Normal)||0,90 a 1,25
Clearance de Creatinina - Creatinina|mg/dL|0.30 a 0.50
zzPesquisa de Pigmentos Biliares - Pigmentos biliares||Ausentes
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|33.0 a 39.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Cálcio Iônico mmol/L|mmol/L|0.95 a 1.50
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|10.5 a 13.5
Dosagem de Gama GT - Gama GT|U/L|17 a 175
Sorologia SARS-CoV-2/COVID19 IgG/IgM - IgG, COVID19|AU/ml|
Contagem de Plaquetas - Volume Médio Plaquetário|fL|6,5 a 15,0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|12.0 a 14.8
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|36.0 a 43.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|12.0 a 14.8
Clearance de Creatinina - Creatinina|mg/dL|0.70 a 1.10
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|9.0 a 14.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|29.0 a 41.0
